,Cnsmr,Manuf,HiTec,Hlth ,Other
199206,-1.94,-2.46,-1.55,-4.72,-0.01
199207,3.84,4.37,4.17,5.8,3.18
199208,-0.88,-1.4,-2.8,-3.37,-3.41
199209,2.19,1.2,2.57,-4.97,3.47
199210,1.34,-0.43,0.78,3.35,2.98
199211,5.6,1.46,5.32,4.83,6.01
199212,0.66,1.82,2.73,-1.36,3.86
199301,0.69,1.25,2.99,-6.84,3.28
199302,-1.62,3.69,2.66,-8.96,0.4
199303,1.83,2.52,2.74,0.74,3.93
199304,-7.36,0.23,-3.27,1.31,-3.2
199305,3.8,1.65,6.46,3.58,1.71
199306,-1.13,0.32,2.1,-2.99,2.19
199307,-0.49,0.53,-0.86,-5.94,2.05
199308,3.59,3.67,5.92,3.13,3.43
199309,-0.77,-0.86,0.4,0.88,1.71
199310,5.72,0.67,2.11,5.94,-2.3
199311,0.68,-1.99,-3.08,1.1,-2.78
199312,0.53,2.55,1.29,2.45,2.62
199401,1.31,3.45,3.41,1.98,4.41
199402,-0.46,-2.1,-1.78,-5.57,-3.88
199403,-4.74,-4.15,-3.82,-6.68,-4.25
199404,0.53,1.39,-0.2,2.3,1.27
199405,-1.75,0.21,1.89,4.43,3
199406,-2.43,-2.72,-2.46,-3.75,-2.64
199407,2.16,4.38,3.55,1.08,2.69
199408,4.43,2.84,5.35,10.82,3.51
199409,-1.9,-1.97,-0.77,1.72,-4.2
199410,1.25,2.25,3.9,0.91,0.05
199411,-2.89,-4.22,-3.59,0.47,-5.16
199412,-0.08,2.17,1.81,0.58,1.42
199501,0.62,1.06,1.31,6.18,4.68
199502,3.16,4.36,4.47,2.24,4.87
199503,2.88,2.84,2.72,2.78,1.93
199504,0.33,2.7,5.52,3.02,1.69
199505,3.91,3.92,2.11,1.63,4.48
199506,2.87,0.44,7.48,4.49,2.2
199507,2.42,2.51,6.87,5.39,4.84
199508,-0.72,-0.29,1.54,1.07,3.67
199509,3.88,2.77,2.92,7.48,4.52
199510,-2.82,-1.38,0.85,1.11,-2.06
199511,5.3,5.15,0.64,4.99,6.13
199512,0.95,3.12,-1.06,5.91,1.08
199601,1.64,2.23,2.1,6.04,3.55
199602,3.42,0.27,2.95,-1.12,2.17
199603,2.59,3.1,-2.84,0.19,1.75
199604,2.33,1.26,7.21,-0.61,0.26
199605,4.95,1.75,2.46,3.94,1.53
199606,-0.08,0.85,-3.01,-0.23,-0.29
199607,-5.54,-4.45,-7.78,-6.07,-4.29
199608,2.43,3.12,2.57,4.22,3.9
199609,3.23,4.7,7.61,7.33,5.07
199610,0.46,2.89,-1.57,-0.71,3.95
199611,4.44,5.35,9.97,6.67,7.52
199612,-1.51,-0.03,-1.1,-2.65,-1.76
199701,3.06,3.7,7.18,9.52,6.03
199702,3.15,-0.95,-4.51,0.97,2.6
199703,-3.41,-1.57,-6.26,-7.36,-5.89
199704,3.87,3.02,6.15,6.19,5.2
199705,6.01,7.09,9.14,6.88,6.21
199706,4.08,3.98,2.13,8.88,5.38
199707,5.64,6.63,12.07,2.04,9.3
199708,-3.74,-3.59,-1.61,-6.13,-4.74
199709,5.37,4.22,5.06,6.6,7.92
199710,-2.77,-4,-5.36,0.16,-2.67
199711,4.86,2.65,4.08,2.84,3.02
199712,2.17,0.67,-1.5,3.55,5.26
199801,-0.9,-1.59,5.07,5.73,-2.08
199802,8.27,6.38,7.9,5.47,8.13
199803,6.14,5.13,3.94,3.61,5.8
199804,-1.38,1.26,2.44,1.9,1.81
199805,2.42,-2.64,-5.27,-2.46,-3.09
199806,3.91,-0.26,6.99,6.16,3.08
199807,-3.26,-5.89,1.51,-0.22,-1.76
199808,-14.44,-10.87,-15.73,-12.25,-21.49
199809,1.41,4.65,13.54,12.01,2.7
199810,10.85,6.45,6.47,3.85,8.91
199811,7.56,2.51,9.13,6.17,6.19
199812,4.85,1.65,14.98,5.02,3.46
199901,0.42,-1.85,13.19,0.24,1.1
199902,-2.74,-2.5,-9.02,0.23,0.02
199903,0.53,5.8,5.77,2.56,2.47
199904,2.95,10.41,4.03,-5.54,6.69
199905,-1.62,-1.75,-0.17,-2.04,-3.76
199906,3.99,1.82,10.03,4.5,3.19
199907,-4.18,-0.55,-1.75,-4.44,-6.03
199908,-4.67,0.15,1.7,3.73,-5.21
199909,-2.82,-3.46,1,-7.09,-4.37
199910,4.65,3.55,4.85,10.79,11.31
199911,1.5,-0.95,10.6,1.49,-2.3
199912,2.88,6.54,16.58,-5.64,1.46
200001,-7.95,-4.96,-4.54,7.54,-4.69
200002,-5.11,-4.75,13.29,-2.92,-7.12
200003,11.03,8.19,4.64,0.3,14.08
200004,-2.04,1.57,-10.13,5.28,-3.12
200005,-0.57,1.31,-10.76,3.95,3.4
200006,-1.32,-2.62,11.33,11.52,-2.94
200007,-0.04,-0.84,-5.58,-6.16,5.49
200008,-1.49,8.29,10.04,3.54,9.15
