,SMALL LoBO,ME1 BO2,SMALL HiBO,BIG LoBO,ME2 BO2,BIG HiBO
19920211,-0.26,-0.26,-0.33,-0.29,-0.28,-0.33
19920212,0.03,-0.16,-0.12,-0.52,-0.46,-0.49
19920213,-0.51,-0.54,-0.55,-0.69,-0.65,-0.78
19920214,-0.45,-0.38,-0.25,-1.06,-0.76,-1.08
19920217,0.02,0.05,-0.03,0.38,0.33,0.43
19920218,-0.86,-0.79,-0.79,-1.29,-0.83,-1.44
19920219,-0.44,-0.45,-0.26,-0.88,-0.24,-0.53
19920220,0.47,0.28,0.5,0.58,0.7,0.57
19920221,0.13,-0.03,0.02,0.44,0.14,0.26
19920224,-0.26,-0.17,-0.14,-0.08,-0.16,-0.2
19920225,-0.33,-0.3,-0.28,-0.36,-0.37,-0.15
19920226,0.68,0.32,0.59,0.76,0.76,1.15
19920227,0.36,0.4,0.63,0.23,0.22,0.1
19920228,0.16,0.13,0.29,0.3,-0.03,-0.12
19920302,0.07,-0.08,-0.07,0.28,-0.1,-0.26
19920303,-0.52,-0.54,-0.52,-0.87,-0.72,-0.83
19920304,-0.58,-0.56,-0.58,-0.87,-0.74,-1.05
19920305,-0.76,-0.57,-0.56,-0.76,-0.73,-0.69
19920306,-0.35,-0.32,-0.18,-0.29,-0.34,-0.32
19920309,-0.18,-0.09,-0.15,-0.22,-0.17,-0.19
19920310,0.04,-0.08,0.04,-0.04,-0.08,-0.19
19920311,-0.51,-0.41,-0.28,-0.85,-0.79,-0.96
19920312,-0.64,-0.52,-0.8,-0.73,-0.67,-0.68
