,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
20160725,-0.55,-0.32,-0.25,-0.49,-0.32,-0.02
20160726,0.58,0.57,0.36,0.71,0.46,0.6
20160727,0.68,0.2,0.1,-0.09,-0.61,-0.54
20160728,-0.2,-0.17,-0.52,0.65,0.31,0.11
20160729,0.11,-0.06,0.27,0.47,0.2,-0.01
20160801,-0.07,-0.14,-0.2,-0.81,-0.33,-0.21
20160802,-0.98,-0.95,-1.53,-0.77,-1,-1.36
20160803,1.41,0.65,0.92,1.25,0.56,0.6
20160804,0.28,-0.17,-0.08,0.11,-0.12,0.23
20160805,1.21,1.42,1.08,1.28,0.93,1
20160808,0.39,0.02,0.69,0.07,-0.08,-0.04
20160809,-0.07,0.02,-0.19,-0.15,0.06,-0.25
20160810,-1.25,-0.6,-0.27,-0.85,-0.32,-0.09
20160811,0.77,0.37,0.51,0.81,0.5,0.66
20160812,0.36,-0.31,-0.05,-0.13,-0.11,-0.08
20160815,1.16,0.83,0.97,1.03,0.51,0.6
20160816,-0.53,-0.46,-0.67,-0.63,-0.85,-0.75
20160817,-0.22,-0.23,-0.13,-0.19,-0.03,-0.08
20160818,0.6,0.74,0.63,0.94,0.79,0.47
20160819,-0.15,0.09,0.09,-0.1,0.01,0.18
20160822,0.42,0.15,0.2,-0.07,0.03,0.04
20160823,0.59,0.59,0.86,0.68,0.37,0.54
20160824,-1.06,-0.27,-0.72,-1.19,-0.55,-0.62
20160825,-0.15,0.26,0.15,0.16,0.12,-0.06
20160826,0.08,-0.11,-0.32,0.03,-0.34,-0.31
20160829,0.7,0.45,0.51,0.56,0.66,0.49
20160830,0.12,0.06,0.26,-0.02,-0.11,-0.16
20160831,-0.6,-0.38,-0.58,-0.65,-0.22,-0.39
20160901,0.02,0.05,-0.07,0.02,-0.12,0.06
20160902,0.67,0.87,1.01,0.82,0.8,0.62
20160906,0.8,-0.06,-0.28,0.46,-0.06,-0.16
20160907,0.25,0.57,0.73,0.43,0.38,0.28
20160908,0.82,0.04,-0.08,0.24,-0.09,-0.48
20160909,-2.58,-2.09,-2.76,-2.69,-2.73,-2.61
20160912,1.12,0.83,1.12,1.43,1.32,1.38
20160913,-1.66,-1.43,-1.71,-2.13,-1.64,-1.51
20160914,0.25,-0.24,-0.27,-0.38,-0.25,-0.11
20160915,1.05,0.93,1.27,1.13,1.17,1.01
20160916,0.28,0.14,-0.04,-0.18,-0.38,-0.46
20160919,0.33,0.39,0.64,0.27,0.58,0.23
20160920,0.73,-0.37,-0.66,-0.15,-0.31,-0.32
20160921,0.98,0.98,1.01,1.79,1.31,1.07
20160922,1.11,1.15,1.3,0.83,0.96,0.8
20160923,-0.1,-0.39,-0.44,-1.02,-0.68,-0.45
20160926,-1.03,-1.07,-1.16,-0.62,-0.77,-0.79
20160927,0.45,0.44,0.24,0.4,0.47,0.52
20160928,0.62,0.6,0.6,1.62,0.71,0.28
20160929,-1.12,-0.85,-0.91,-0.96,-0.97,-0.96
20160930,1.29,1.32,0.97,1.03,0.83,1.02
20161003,-0.01,-0.37,-0.04,-0.2,-0.43,-0.3
20161004,-0.76,-0.3,-0.35,-0.61,-0.62,-0.46
20161005,0.98,0.88,0.72,1.1,0.74,0.52
20161006,-0.7,-0.1,-0.3,-0.83,0.07,0.19
20161007,-0.53,-0.58,-0.87,-0.51,-0.54,-0.68
20161010,0.96,0.76,0.85,0.99,0.56,0.46
20161011,-1.67,-1.35,-1.53,-1.67,-1.59,-1.42
20161012,-0.64,0.22,0.16,-0.44,0.17,0.14
20161013,-1.19,-1.14,-1.16,-0.72,-0.49,-0.37
20161014,-0.57,0.22,-0.26,-0.28,0.01,-0.13
20161017,-0.49,-0.17,-0.43,-0.41,-0.18,-0.31
20161018,0.47,0.3,0.21,0.83,0.8,0.53
20161019,0.26,0.49,0.67,0.52,0.42,0.39
20161020,0.27,-0.34,-0.5,-0.23,-0.24,-0.33
20161021,-0.06,-0.22,-0.07,-0.01,-0.14,0
20161024,-0.14,0.59,0.49,0.1,0.59,0.5
20161025,-1.14,-0.69,-1.19,-1.03,-0.72,-0.71
20161026,-1.01,-0.54,-0.67,-0.44,-0.25,-0.12
20161027,-1.2,-0.49,-1.1,-0.65,-0.4,-0.66
